UNICA ATACADISTA DE TINTAS

FORNECEDORES - COMPLETO 31/08/2026 19:55

Cadastro Inicial : TODOS
Cadastro Final : TODOS
Atividade : TODOS
Material para Revenda : TODOS
Situação : ATIVOS
Ordenar por : CÓDIGO
Destino : CSV

CÓDIGO;NOME DO FORNECEDOR;ENDEREÇO;BAIRRO;CIDADE;UF;;C.E.P.;CAIXA POSTAL;C.P.F./C.N.P.J.;INSC. ESTADUAL;;CONTATO;DATA DE CADASTRO;TELEFONE;FAX
"00000001";"SIKKENS";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";09/04/2007;"";""
"00000002";"ANJO QUIMICA DO BRASIL LTDA";"RUA 13 Q. 11 L 36/40";"VILA MACARINI";"CRICIÚMA";"SC";" ";"88818800";"";"02921346000409";"253852110";" ";"BETO";11/04/2007;"48 34618000";"48 34618001"
"00000003";"3M";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";14/04/2007;"";""
"00000004";"WANDA";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";09/04/2007;"";""
"00000005";"RENATO PARAISO MATTA - ME";"RUA RIO POMBA,";"PADRE EUSTAQUIO";"BELO HORIZONTE";"MG";" ";"30720290";"";"04309862000151";"0621190880082";" ";"PRISCILA/IVAN";14/04/2007;"31 30333017";""
"00000006";"LIBERTY SEGUROS S/A";"RUA DR. GERALDO CAMPOS MOREIRA";"SAO PAULO";"SÃO PAULO";"SP";" ";"04571020";"";"61550141000172";"";" ";"";08/09/2011;"";""
"00000007";"ARTEX INDUSTRIA DE TINTAS LTDA";"ROD VALDOMIRO CORREA DE CAMARGO SP 79 KM";"VILA MARTINS";"ITU";"SP";" ";"13308200";"";"61528766000308";"387082674111";" ";"LUANA 9944-331981";17/04/2007;"49191346208";""
"00000008";"PINCEIS ATLAS S.A.";"BR 116,KM";"ITAQUI";"ITAPEVI";"SP";" ";"06696100";"";"89723837000849";"373096970118";" ";"GILBERTO (ANJO)";17/04/2007;"11 21355121";"11 21355113"
"00000009";"PPG INDUSTRIAL DO BRASIL TINTAS E VERNIZES LTDA";"RODOVIA ANHANGUERA,KM";"NOVA VENEZA";"SUMARÉ";"SP";" ";"13180900";"";"43996693000127";"671085741113";" ";"NILTON - 99676.5003";17/04/2007;"19 21036000";""
"00000010";"BRASCOLA LTDA";"RUA DONA FRANCISCA,N";"DISTRITO INDUSTRIAL";"JOINVILLE";"SC";" ";"89219600";"";"61105060000830";"255323492";" ";"LUIZ CARLOS";17/04/2007;"47 32052727";"80 07702660"
"00000011";"COLOR BRILHO PRODUTOS AUTOIMOTIVOS";"RUA: MARIA CONCEIÇÃO DAS DORES";"VILA MARIA";"APARECIDA DE GOIÂNIA";"GO";" ";"74919376";"";"06984742000185";"103808884";" ";"";17/04/2007;"62 32802525";""
"00000012";"SHERWIN WILLIAM DO BRASIL IND E COM.LTDA";"ESTRADA DO MONTANHÃO";"BAIRRO MONTANHAO";"S.B.DO CAMPO";"SP";" ";"09791250";"";"60872306004076";"635088345114";" ";"";18/04/2007;"11 21684293";""
"00000013";"LM INDUSTRIA,COMERCIO,IMPORTACAO E EXPORTACAO LTDA";"RUA NIVALDO GUERREIRO NUNES,N";"DISTRITO INDUSTRIAL";"UBERLÂNDIA";"MG";" ";"38402330";"";"22399174000101";"7025277080032";" ";"JONATAN / PAULO";18/04/2007;"34 32568800";"34 32568825"
"00000014";"SW DIESEL PECAS DE FIXACAO LTDA";"RUA C-163 NUMERO";"JARDIM AMERICA";"GOIÂNIA";"GO";" ";"74250210";"";"24999237000196";"101903715";" ";"GILSON";17/04/2007;"62 40135100";""
"00000015";"H.S BOND COMERCIO DE ADESIVOS LTDA";"RUA ANTONIO FLORENCE";"HIGIENOPOLIS";"ARAÇATUBA";"SP";" ";"16010655";"";"52336476000100";"177045621110";" ";"RICARDO/CAMILA";17/04/2007;"18 36233899";"18 36247751"
"00000016";"INDASA";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";17/04/2007;"";""
"00000017";"DG COMERCIO DE MAT PARA PINT";"SHN ÀREA ESPECIAL 55 LOJA";"TAGUATINGA";"TAGUATINGA";"DF";" ";"72115300";"";"03844874000113";"0741075900116";" ";"";17/04/2007;"61 33546503";""
"00000018";"FORMULA PRODUTOS AUTOMOTIVOS LTDA";"QN 304 CONJUNTO 02 LOTE";"SAMAMBAIA SUL";"SAMAMBAIA";"DF";" ";"72306002";"";"01581193000346";"0743258100212";" ";"ANDERSON RODRIGUES/LEILAN";17/04/2007;"61 34582060";""
"00000019";"LIMP-CAR";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";17/04/2007;"";""
"00000020";"MIX COMPONENTES AUTOMOTIVOS LTDA";"AV.PRESIDENTE KUBITSCHEK-QD 40 LT 25 Nº";"JARDIM PRESIDENTE";"GOIÂNIA";"GO";" ";"74353250";"";"02346950000106";"103004904";" ";"VINICIUS";17/04/2007;"62 35753232";""
"00000021";"SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA";"RUA INDUBEL - COMPLEMENTO 688, 686";"VILA AEROPORTO";"GUARULHOS";"SP";" ";"07170353";"";"61064838011682";"336520600111";" ";"";17/04/2007;"";"11 21385366"
"00000022";"RETOQUE IND.E COM DE MASSAS PLASTICAS LTDA";"RUA JAPARAIQUARA";"SAO PAULO";"SÃO PAULO";"SP";" ";"03873000";"";"02566471000197";"115091930110";" ";"MARIA";18/04/2007;"11 20410866";"11 21460251"
"00000023";"SIKA S.A.";"AV. FERNANDO CERQUEIRA CESAR COIMBRA Nº 21";"ALPHAVILE";"BARUERI";"SP";" ";"06465090";"";"33081704002058";"206001455114";" ";"";18/04/2007;"11 36874600";"11 36010280"
"00000024";"SYNTEKO";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";18/04/2007;"";""
"00000025";"IND E COMERCIO DE SOLVENTES E TINTAS TEMPO";"TRAV.LEONOR MASCARENHAS,";"RAMOS";"RIO DE JANEIRO";"RJ";" ";"21040135";"";"33197260000158";"81797781";" ";"RAQUEL";18/04/2007;"21 21310922";"21 21310900"
"00000026";"TESA BRASIL LTDA";"RUA  JOÃO GUALBERTO 1259 CONJ.";"ALTO DA GLORIA";"CURITIBA";"PR";" ";"80030001";"";"04480645000120";"9024913845";" ";"SUENE";18/04/2007;"41 30218100";"41 30218110"
"00000027";"TIRADENTES MEDICO HOSPITALAR LTDA";"SOPI CONJ B LOTE";"NUCLEO BANDEIRANTE";"BRASILIA";"DF";" ";"72000000";"";"01536135000210";"0732624200291";" ";"IVONEIDE";18/04/2007;"61 32251020";""
