Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
21031;1K ALL PLASTICS SPRAY SIKKENS;530583;8;SIKKENS;534;AKZO NOBEL LTDA;20021;SPRAYS 
23140;7405S CHROMA NON-STOP ACTIVADOR 0,946L AXALTA;K74054097/13;5;AXALTA;384;Axalta Coating Systems Brasil Ltda;20015;CATALISADORES INDIVIDUAS
22277;A3316 QUIK DETAILER 473ML;50100004E;999999;.;29;MAXI RUBBER INDUSTRIAS QUIMICAS LTDA;20006;CERA  / LIMPEZA /  POLIMENTO VEICULAR
86573;AB GEL REMOVEDOR 3KG;5359441;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86574;AB GEL REMOVEDOR 750G;5360589;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86560;AB LIXA LÍQUIDA 500ML;5323543;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86565;AB REPARA PAREDES 1KG;5323559;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86561;AB REPARA PAREDES 330G;5323555;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86562;AB REPARA PAREDES ACAO RAPIDA 330G;5323556;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86564;AB REPARA PAREDES PRO 340G;5323558;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86566;AB REPARADOR FLEXIVEL 530G;5323561;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
86563;AB SOS REPARA PAREDES 2X 8G;5323557;800077;ALABASTINE;34;AKZO NOBEL LTDA;30040;REPAROS ALABASTINE
87271;ABRAÇADEIRA ROSCA SEM FIM 09-13X9MM;16.03.01.0014;50;SCHWEERS;143;TERRA UTIL. DE MAQUINAS, FERRAMENTAS E UTILID.;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
21858;ABRIDOR DE LATAS LOGOTIPO LAZZURIL;80.79.80997-082;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
87177;ABRIDOR DE LATAS WANDA;2004317;1;WANDA;34;AKZO NOBEL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
21378;ACELERADOR SECAGEM 450ML LAZZURIL;05.60.00068-175;3;SHERWIN WILLIAMS;35;SHERWIN - WILLIAMS DO BRASIL IND. E COM. LTDA;20015;CATALISADORES INDIVIDUAS
83910;ACERTO DE COR - TRICOAT;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83901;ACERTO DE COR AMARELO;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83900;ACERTO DE COR AZUL;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83904;ACERTO DE COR BEGE;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83902;ACERTO DE COR BRANCO;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83903;ACERTO DE COR CINZA;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83912;ACERTO DE COR LARANJA;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83905;ACERTO DE COR MARROM;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83906;ACERTO DE COR PRATA;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83907;ACERTO DE COR PRETO;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83911;ACERTO DE COR ROXO;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83909;ACERTO DE COR VERDE;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
83908;ACERTO DE COR VERMELHO;;999999;.;137;DAUTO TINTAS LTDA ME;999999;GRUPO CONVERSAO
87021;ACIDUS PRO 1,5L VONIXX;1040016;10;VONIXX;425;VONIXX INDUSTRIA E COMERCIO DE POLIDORES LTDA;20011;LINHA DE HIGENIZAÇÃO E ESTÉTICA  AUTOMOTIVA VONIX
87022;ACIDUS PRO 5L VONIXX;1040017;10;VONIXX;425;VONIXX INDUSTRIA E COMERCIO DE POLIDORES LTDA;20011;LINHA DE HIGENIZAÇÃO E ESTÉTICA  AUTOMOTIVA VONIX
84459;ACRILAR ACRILICO PREMIUM ACETINADO BRANCO GELO 3,6L BRASILUX;AC 490501702;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
85094;ACRILAR ACRILICO PREMIUM ACETINADO BRANCO GELO LATA 18L BRASILUX;AC 490501703;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84293;ACRILAR ACRILICO PREMIUM ACETINADO BRANCO NEVE 3,6L BRASILUX;AC 490503002;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84744;ACRILAR ACRILICO PREMIUM ACETINADO BRANCO NEVE LATA 18L BRASILUX;AC 490503003;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84287;ACRILAR ACRILICO PREMIUM FOSCO AREIA 3,6L BRASILUX;FO 490700102;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
85311;ACRILAR ACRILICO PREMIUM FOSCO AREIA LATA 18L BRASILUX;FO 490700103;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84289;ACRILAR ACRILICO PREMIUM FOSCO BRANCO GELO 3,6L BRASILUX;FO 490501702;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
85473;ACRILAR ACRILICO PREMIUM FOSCO BRANCO GELO LATA 18L BRASILUX;FO 490501703;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84290;ACRILAR ACRILICO PREMIUM FOSCO BRANCO NEVE 3,6L BRASILUX;FO 490503002;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84374;ACRILAR ACRILICO PREMIUM FOSCO BRANCO NEVE BALDE 18L BRASILUX;FO 490503057;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84754;ACRILAR ACRILICO PREMIUM FOSCO BRANCO NEVE LATA 18L BRASILUX;FO 490503003;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84292;ACRILAR ACRILICO PREMIUM FOSCO CAMURCA 3,6L BRASILUX;FO 492400102;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84376;ACRILAR ACRILICO PREMIUM FOSCO CAMURCA LATA 18L BRASILUX;FO 492400103;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84291;ACRILAR ACRILICO PREMIUM FOSCO PALHA 3,6L BRASILUX;FO 491200102;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84375;ACRILAR ACRILICO PREMIUM FOSCO PALHA LATA 18L BRASILUX;FO 491200103;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84378;ACRILAR ACRILICO PREMIUM FOSCO VERDE FOLHA BALDE 18L BRASILUX;FO 492202057;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30001;TINTA PAREDE
84617;ACRILAR BASE A ACETINADO 16,2L BRASILUX;BA 490525833;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84616;ACRILAR BASE A ACETINADO 3,24L BRASILUX;BA 490525832;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84615;ACRILAR BASE A ACETINADO 810ML BRASILUX;BA 490525831;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84610;ACRILAR BASE A FOSCO 16,2L BRASILUX;BA 490521733;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84609;ACRILAR BASE A FOSCO 3,24L BRASILUX;BA 490521732;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84608;ACRILAR BASE A FOSCO 810ML BRASILUX;BA 490521731;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84614;ACRILAR BASE B ACETINADO 16,2L BRASILUX;BA 490525933;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84618;ACRILAR BASE B ACETINADO 3,24L BRASILUX;BA 490525932;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84746;ACRILAR BASE B ACETINADO 810ML BRASILUX;BA 490525931;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84612;ACRILAR BASE B FOSCO 16,2L BRASILUX;BA 490521833;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84611;ACRILAR BASE B FOSCO 3,24L BRASILUX;BA 490521832;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84745;ACRILAR BASE B FOSCO 810ML BRASILUX;BA 490521831;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84620;ACRILAR BASE C ACETINADO 16,2L BRASILUX;BA 490526033;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84619;ACRILAR BASE C ACETINADO 3,24L BRASILUX;BA 490526032;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84996;ACRILAR BASE C ACETINADO 810ML BRASILUX;BA 490526031;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84995;ACRILAR BASE C FOSCO 16,2L BRASILUX;BA 490521933;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84613;ACRILAR BASE C FOSCO 3,24L BRASILUX;BA 490521932;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
84994;ACRILAR BASE C FOSCO 810ML BRASILUX;BA 490521931;67;BRASILUX;556;BRASILUX TINTAS TECNICAS LTDA;30006;BASES IMOBILIÁRIAS
86946;"ADAPTADOR C/ ROSCA FEMEA 1/4"" P/ MANGUEIRA 5/16"" AD657F SCHWEERS";AD 657 F 5/16;50;SCHWEERS;492;SCHWEERS METALURGICA EIRELI;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
86947;"ADAPTADOR C/ ROSCA MACHO 1/4"" P/ MANGUEIRA 5/16"" AD657M5/16 SCHWEERS";AD 657 M 5/16;50;SCHWEERS;492;SCHWEERS METALURGICA EIRELI;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
20984;ADAPTADOR ENGATE RAPIDO PN33271 3M;HB004155956;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
23773;"ADAPTADOR P/ ENGATE RAPIDO FEMEA 1/4"" AD767F SCHWEERS";AD767F;50;SCHWEERS;492;SCHWEERS METALURGICA EIRELI;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
23774;"ADAPTADOR P/ ENGATE RAPIDO MACHO 1/4"" AD767M SCHWEERS";AD767M;50;SCHWEERS;143;TERRA UTIL. DE MAQUINAS, FERRAMENTAS E UTILID.;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
87196;ADAPTADOR P/ ENGATE RAPIDO POL PN05752 3M;HB004142038;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
21519;ADAPTADOR TIPO 32 PPS 3M;HB004215339;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
20995;ADAPTADOR TIPO 5 PPS 3M;H0002120436;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
21022;ADAPTADOR TIPO 8 PPS 3M;HB004063788;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
87328;ADAPTADOR TIPO S18 F 3/8 PPS 2 3M;HB004667802;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
87346;ADAPTADOR TIPO S2C FEMEA M16X1.5 PPS 2 3M;HB004667729;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
87042;ADAPTADOR TIPO S8 MACHO M12X1.0 PPS 2 3M;HB004667760;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
87028;ADAPTADOR TIPO S9 PPS 2 3M;HB004668636;4;3M;36;3M DO BRASIL LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
23709;ADAPTADOR/ENGATE P/ BOINA 14MM OU 5/8 NEWPAD;A14;46;NEW PAD;473;NEWPAD PRODUTOS AUTOMOTIVOS LTDA;20028;APLICADORES / ADAPTADORES / ENGATES / SUPORTES
85466;ADESIVO ARALDITE HOBBY 16G TEKBOND;69957366144;71;TEK BOND;570;SAINT GOBAIN;20056;COLA INST./ ADESIVOS COLANTES
85467;ADESIVO ARALDITE HOBBY 23G TEKBOND;69957366147;71;TEK BOND;570;SAINT GOBAIN;20056;COLA INST./ ADESIVOS COLANTES
39;ADESIVO DE COLAGEM CHAPAS METALICAS PBA 240GR 3M;60980024479;4;3M;36;3M DO BRASIL LTDA;20056;COLA INST./ ADESIVOS COLANTES
85461;ADESIVO DE SILICONE TRANSP 50G S/ BLISTER TEKBOND;69957326460;71;TEK BOND;570;SAINT GOBAIN;30034;SILICONE
24409;ADESIVO DE SILICONE TRANSPARENTE 256G/270ML TEK BOND;69957326982;71;TEK BOND;570;SAINT GOBAIN;30034;SILICONE
37;ADESIVO ESPELHO RETROVISOR DOSE UNICA 1G TEK BOND;12841000102;71;TEK BOND;570;SAINT GOBAIN;20056;COLA INST./ ADESIVOS COLANTES
85622;ADESIVO INST 100G 793 BICO ANTIENTUPIMENTO TEKBOND;69957321884;71;TEK BOND;138;NOVA CASA DIST.MAT P/ CONST-LTDA;20056;COLA INST./ ADESIVOS COLANTES
