UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000000091642-NF-009";"00000002 - ANJO QUIMICA DO BRASIL LTDA";06/02/2026;"020004.84658";"MASSA POLIESTER REVOLUTION 1KG ANJO";"";"ANJO";"UN";29,71;360,00;0,00;10.695,60;139,04;0,00;0,00;0,00;0,00;1.283,47;0,00;10.834,64
"000000092052-NF-009";"00000002 - ANJO QUIMICA DO BRASIL LTDA";02/06/2026;"060001.10303";"THINNER 2750 18L ANJO";"";"ANJO";"UN";167,14;20,00;0,00;3.342,76;217,28;0,00;0,00;0,00;0,00;401,13;0,00;3.560,04
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.84421";"ROLO LA SINTETICA RESIMAX 5CM 339/55A ATLAS";"";"ATLAS";"UN";4,68;72,00;0,00;336,96;0,00;0,00;0,00;0,00;0,00;23,59;0,00;336,96
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.10118";"TRINCHA 395 2  PINTURA LATEX E ACRILICA 395/5 ATLAS";"";"ATLAS";"UN";3,70;204,00;0,00;754,80;0,00;0,00;0,00;0,00;0,00;52,84;0,00;754,80
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.84423";"ROLO LA SINTETICA RESIMAX 23CM 339/5A ATLAS";"";"ATLAS";"UN";13,13;120,00;0,00;1.575,60;0,00;0,00;0,00;0,00;0,00;63,02;0,00;1.575,60
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.10117";"TRINCHA 395 2 1/2  PINTURA LATEX E ACRILICA 395/6 ATLAS";"";"ATLAS";"UN";4,81;96,00;0,00;461,76;0,00;0,00;0,00;0,00;0,00;32,32;0,00;461,76
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.10115";"TRINCHA 395 1  PINTURA LATEX E ACRILICA 395/3 ATLAS";"";"ATLAS";"UN";2,19;60,00;0,00;131,40;0,00;0,00;0,00;0,00;0,00;9,20;0,00;131,40
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.10108";"ESPATULA AÇO CROMADO 7,6CM 3  6255/12 ATLAS";"";"ATLAS";"UN";6,33;36,00;0,00;227,88;11,85;0,00;0,00;0,00;0,00;9,12;0,00;239,73
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.10107";"ESPATULA AÇO CROMADO 6,4CM 2 1/2  6255/10 ATLAS";"";"ATLAS";"UN";6,04;36,00;0,00;217,44;11,31;0,00;0,00;0,00;0,00;8,70;0,00;228,75
"000001012909-NF-009";"00000008 - PINCEIS ATLAS S.A.";16/01/2026;"030028.85054";"BANDEJA P/ PINTURA DE PLASTICO PRETA 3,6L 1534P ATLAS";"";"ATLAS";"UN";7,79;24,00;0,00;186,96;18,23;0,00;0,00;0,00;0,00;13,09;0,00;205,19
