FORNECEDOR;CÓDIGO;DESCRIÇÃO DO PRODUTO;REFERÊNCIA;;UN.;QTD.ESTQ;VLR. ESTQ;QTD. FATUR;FATURAMENTO;TOT.CUSTO;MARG. VALOR;MARG. %;LITROS;KILOS;REP. %;ACUM. %;mês
00000002-ANJO QUIMICA DO BRASIL LTDA;84658;MASSA POLIESTER REVOLUTION 1KG ANJO;;;UN;65;2.015,00;90;4.113,31;2.790,00;1.323,31;32,17;0;0;0,14;0,14;MARÇO
00000008-PINCEIS ATLAS S.A.;84423;ROLO LA SINTETICA RESIMAX 23CM 339/5A ATLAS;;;UN;83;1.212,63;83;1.563,97;1.122,16;441,81;28,25;0;0;0,05;0,2;MARÇO
00000008-PINCEIS ATLAS S.A.;23878;GARFO GAIOLA S/ ROSCA AÇO 400/23SR ATLAS;;;UN;333;2.204,46;107;1.039,63;669,76;369,87;35,58;0;0;0,04;0,23;MARÇO
00000008-PINCEIS ATLAS S.A.;84420;ROLO POLIAMIDA ANTIGOTA 23CM 321/10 ATLAS;;;UN;75;1.152,00;44;878,52;679,36;199,16;22,67;0;0;0,03;0,27;MARÇO
00000008-PINCEIS ATLAS S.A.;10118;TRINCHA 395 2  PINTURA LATEX E ACRILICA 395/5 ATLAS;;;UN;165;683,1;164;873,29;624,84;248,45;28,45;0;0;0,03;0,3;MARÇO
00000008-PINCEIS ATLAS S.A.;84422;ROLO LA SINTETICA RESIMAX 9CM 339/9A ATLAS;;;UN;82;625,66;78;796,31;552,24;244,07;30,65;0;0;0,03;0,32;MARÇO
00000008-PINCEIS ATLAS S.A.;10117;TRINCHA 395 2 1/2  PINTURA LATEX E ACRILICA 395/6 ATLAS;;;UN;291;1.475,37;106;725,07;524,7;200,37;27,63;0;0;0,03;0,35;MARÇO
00000008-PINCEIS ATLAS S.A.;10120;TRINCHA 395 3  PINTURA LATEX E ACRILICA 395/7 ATLAS;;;UN;140;1.085,00;55;663,5;416,35;247,15;37,25;0;0;0,02;0,37;MARÇO
00000008-PINCEIS ATLAS S.A.;10121;TRINCHA 395 4  PINTURA LATEX E ACRILICA 395/9 ATLAS;;;UN;99;879,12;48;599,82;416,16;183,66;30,62;0;0;0,02;0,39;MARÇO
00000008-PINCEIS ATLAS S.A.;84435;ROLO DE LA MISTA 23CM 228/22 ATLAS;;;UN;79;1.072,03;33;590,4;443,19;147,21;24,93;0;0;0,02;0,41;MARÇO
00000008-PINCEIS ATLAS S.A.;20245;ESPATULA PLASTICA CELULOIDE 13,1CM 152/2 ATLAS;;;UN;753;1.024,08;231;504,66;311,85;192,81;38,21;0;0;0,02;0,43;MARÇO
00000008-PINCEIS ATLAS S.A.;10114;TRINCHA 395 1 1/2  PINTURA LATEX E ACRILICA 395/4 ATLAS;;;UN;235;763,75;94;474,39;282;192,39;40,56;0;0;0,02;0,45;MARÇO
00000008-PINCEIS ATLAS S.A.;84426;ROLO ESPUMA POLYESTER CINZA 9CM 406/9 ATLAS;;;UN;229;760,28;70;313,16;229,6;83,56;26,68;0;0;0,01;0,46;MARÇO
00000008-PINCEIS ATLAS S.A.;85484;DISCO ABRASIVO TELADO 225MM 080 AT14/80 ATLAS;FL;;DC;65;257,4;39;303,1;154,44;148,66;49,05;0;0;0,01;0,47;MARÇO
00000008-PINCEIS ATLAS S.A.;86939;ROLO PELE DE CARNEIRO EXTRA 23CM 322/22 ATLAS;;;UN;44;1.658,80;4;270,23;153,27;116,96;43,28;0;0;0,01;0,48;MARÇO
00000008-PINCEIS ATLAS S.A.;10115;TRINCHA 395 1  PINTURA LATEX E ACRILICA 395/3 ATLAS;;;UN;69;169,74;58;246,01;131,08;114,93;46,72;0;0;0,01;0,49;MARÇO
00000008-PINCEIS ATLAS S.A.;85716;KIT DE PINTURA ANTIRESPINGO 3 PEÇAS 2003 ATLAS;;;UN;26;383,24;10;238,79;171,8;66,99;28,05;0;0;0,01;0,5;MARÇO
00000008-PINCEIS ATLAS S.A.;84439;PROLONGADOR EXTENSOR DE ACO 3M 1700 ATLAS;;;UN;21;577,71;6;234,86;165,06;69,8;29,72;0;0;0,01;0,5;MARÇO
00000008-PINCEIS ATLAS S.A.;84424;ROLO LA SINTETICA RESIMAX 15CM 339/15A ATLAS;;;UN;63;689,85;12;220,2;130,2;90;40,87;0;0;0,01;0,51;MARÇO
00000008-PINCEIS ATLAS S.A.;85487;DISCO ABRASIVO TELADO 225MM 180 AT14/180 ATLAS;FL;;DC;91;360,36;40;219,86;158,4;61,46;27,95;0;0;0,01;0,52;MARÇO
